variable ordering: f1, f2, Eph1, Eph2, Eel1, Eel2, p1, p2, pel2, lambda1, lambda2, h, mel, c, cosTh
.113728+.0674011*ii, -.0237576-.232708*ii, 1.42178+.181906*ii, -1.237-2.21412*ii, -9.1359+7.94204*ii, -9.86279+6.62364*ii, 7.45892+.168628*ii, -.200917-.310658*ii, -2.4407-3.57898*ii, 2.79542-10.1033*ii, 3.65169+4.66527*ii, 9.95352-4.29949*ii, -4.31789-4.59177*ii, .99889-.960613*ii, -3.63454+11.0355*ii
-.169863-.671095*ii, .138379+.806231*ii, .342885-1.42508*ii, -.535039+1.64732*ii, -.144091-.474649*ii, -.636182+.218141*ii, 2.7284+.069808*ii, .536301+.871621*ii, -1.77512+1.46298*ii, .304587-.427174*ii, -.228836+.380469*ii, 1.87412+.985299*ii, -3.23882-1.91095*ii, -.338412-.131846*ii, 1.54313-.337036*ii
-1.08805+3.51398*ii, -.024274+.896736*ii, -.290304-.984201*ii, -.132929-.212005*ii, .203522-.650864*ii, 3.89049+2.76628*ii, -1.05036-2.97451*ii, -.0739298-.321654*ii, .544592+3.23173*ii, -.354329-.183951*ii, -1.19556-1.1184*ii, -.232236+.154523*ii, .300565+.0981409*ii, 1.03193-1.04495*ii, -.220473-1.71888*ii
1.08836+.389544*ii, -.620368+.244651*ii, 1.28027+.058612*ii, -.57786+.461209*ii, -.387778+.9567*ii, -.06139-1.32437*ii, -.448853-.418043*ii, -.326606+.064734*ii, .781703-.043074*ii, -.78355-1.00953*ii, -.131336+2.21132*ii, 1.05984-.325483*ii, .402517-.24849*ii, -.459525-1.40396*ii, -.483476+1.45188*ii
-1.78632+4.23614*ii, 4.42492-1.68585*ii, -1.59869-9.34623*ii, -5.81911+7.84328*ii, 2.09866-1.56073*ii, 9.70403+6.82633*ii, -.133735-2.35492*ii, 1.14132-4.46598*ii, 2.19656+.729596*ii, .105355+1.1319*ii, -.864927-.685609*ii, -1.7381+1.11032*ii, .0300172-.0909277*ii, -4.98307-1.57562*ii, 1.39741+.324615*ii
1.84704-2.741*ii, -.398748-.16612*ii, .862794+.996981*ii, .10554-.136211*ii, .221299+.0123588*ii, -2.09476-4.30861*ii, .723111-.192532*ii, -.595311+1.70725*ii, -.752788+2.40237*ii, .561862+.127148*ii, -1.80047+4.02337*ii, -.10427+.385036*ii, .0002715+.0611355*ii, 1.3863-1.30522*ii, .394185-1.1898*ii
-.275096-.237146*ii, -.469042-.899047*ii, .297745+.0859776*ii, .683754+.530228*ii, 1.51646+1.38458*ii, 1.46691+2.65202*ii, .770844+.65298*ii, -1.30751+1.20267*ii, -4.23812-.832119*ii, -1.50152-.576815*ii, -.576082+.006748*ii, -.775474+.35596*ii, .924825-5.94501*ii, .276273+.51476*ii, 4.58261+2.7502*ii
.356636+.144953*ii, .115148+.254824*ii, .919043-.211238*ii, .589471+.348886*ii, -.245625-.0239288*ii, .222785-.141587*ii, 1.35556-.681085*ii, .643706+.328155*ii, -.47239+.971619*ii, -.662647+.165537*ii, -.503971+.79383*ii, 2.00501-1.40724*ii, -3.50843+.657966*ii, -.260318-.0370163*ii, 1.09398-.237252*ii
-.148282-.508951*ii, .0138284+.369278*ii, -.0155505-.477449*ii, -.0705613+.325441*ii, -.0296351-.0620507*ii, -.129288+.135447*ii, 1.43982+.325293*ii, .778096+.847119*ii, -.579577+1.11409*ii, -.168494+.242868*ii, .149559-.396786*ii, .87291+.223767*ii, -2.48512-1.29118*ii, .148593+.0497419*ii, 1.31037-.185526*ii
.0075367-.134805*ii, -.251866+.0910589*ii, .779262+.428798*ii, .176629-1.75547*ii, -3.42919-4.7512*ii, -2.78393-5.78532*ii, -4.64405+4.20826*ii, .0010065-.185329*ii, 4.65719-2.70977*ii, 4.69898+2.46817*ii, -2.07322+1.69161*ii, -2.84879+5.93993*ii, 11.3082-1.51725*ii, .368137-.614845*ii, -7.46238-.605334*ii
.488473-.0000451*ii, .340855+.705992*ii, .206845+.246334*ii, -.211735+.470826*ii, -.80503+.635875*ii, -.909821+.486793*ii, -.196844+.182256*ii, -.303984+.483733*ii, .256807-.966899*ii, -.087820-1.24753*ii, -.723809-.288615*ii, .423407+.504334*ii, 2.37486-1.38445*ii, -.042954-.609379*ii, -.861148+2.27089*ii
.0630268+.295835*ii, .397833+.19267*ii, .206396+.664399*ii, .951643+.357894*ii, -.0537689-.302075*ii, -.118986-.306616*ii, .589891+.466916*ii, .748794+.371713*ii, .642404+.129087*ii, -.655957+.789147*ii, -.701819-.02287*ii, 2.29051-.209686*ii, -2.89812-1.3203*ii, -.274801-.144318*ii, .730224+.206675*ii
-3.73193+1.36986*ii, 2.7011+1.55437*ii, -5.23145-9.64233*ii, -3.16478+7.99618*ii, .351669+2.82615*ii, -1.45208+2.92275*ii, 2.82886-5.26044*ii, -.78815-5.58781*ii, -.604884+4.68357*ii, -.0821585-.152474*ii, .216422+.0444547*ii, .399573+2.73041*ii, 6.00719-.015255*ii, .515478+.456477*ii, .477951+.0654749*ii
-.381746+.034482*ii, .483683+1.39671*ii, -.157432+.416016*ii, 1.70326+.202751*ii, .666868-.338581*ii, -1.4853+.026600*ii, -1.20516-1.93722*ii, .0512359+.4641*ii, 1.59616+1.6984*ii, -1.25221+.90972*ii, -.150735-.371993*ii, .506703-1.044*ii, 1.2066+1.74913*ii, .446658-.39046*ii, -.598326-.891582*ii
.121679+.0283314*ii, 1.09709-1.32173*ii, .0874275-.0469911*ii, -.039782-1.3641*ii, -.0994934+.14302*ii, -1.90362-4.12076*ii, -1.53336+4.51158*ii, 1.89215-3.04208*ii, 4.62377-3.49429*ii, .094089+6.27058*ii, -.404782+.210237*ii, .596265-.525022*ii, .0508926-.279214*ii, -.166206+.765663*ii, -.452188+.873332*ii
-.294199-.231104*ii, .20433+.478629*ii, -.491081-1.51334*ii, -.412921+2.17436*ii, -.627608-.873075*ii, -.149473-.0079677*ii, 3.69479+.986528*ii, .700975+1.06833*ii, -2.08827+1.91772*ii, .873003-.519577*ii, -.370768+.629201*ii, 3.53106+2.37015*ii, -5.74306-4.73531*ii, -.376913-.048896*ii, 1.99653-.561745*ii
-1.36875-1.6806*ii, -.387568-1.44619*ii, .222596+.707533*ii, -.059729+.50887*ii, -.00100673+.061739*ii, -.0398899+.0801822*ii, 1.60566-.044954*ii, 1.70961+.134014*ii, .428211-.195061*ii, .0189123-.0758487*ii, -.0199575-.11139*ii, -.317964-.126513*ii, -1.67757+1.34619*ii, -.153357+.0720337*ii, .97167+.038549*ii
.465627-.753168*ii, .285849+.141717*ii, -5.14706+8.20264*ii, -3.1157-1.57068*ii, 9.10232-2.82845*ii, 4.34486+11.8435*ii, -.800833+.278272*ii, -3.36841+6.20991*ii, 2.23799-2.40434*ii, 5.42121-.357354*ii, .41653-15.0726*ii, -10.936-.07299*ii, -.119243+.394209*ii, 2.25511-4.24947*ii, 2.24681-2.55794*ii
-.0475555+.36389*ii, .572354-.501299*ii, 1.40529+.017615*ii, -2.16333-1.9519*ii, 1.42174+4.76467*ii, 1.45269+4.73652*ii, .0803846-.096163*ii, 1.19238+.019051*ii, .0053035-.491863*ii, -3.54059-.458381*ii, 1.42821-.962036*ii, -.448623-3.80323*ii, -2.09273-2.0027*ii, .335175-1.26659*ii, 3.54114+4.28137*ii
-.877815-.27179*ii, -.231471+.047031*ii, 1.58338-.060611*ii, .349549-.209044*ii, .170862-.543512*ii, -.22586+.473143*ii, -.884099-.450987*ii, -.102913+.142237*ii, -.772644-.385097*ii, -.242058+.310293*ii, -1.40563+.606915*ii, -1.62647+.572639*ii, 4.35097-.218213*ii, .296817-.206591*ii, .080239+.598857*ii
-.175289-.0905541*ii, .12973-.084315*ii, -.312129+.324065*ii, -.0997201-.338458*ii, .303405-.149984*ii, -.293425+.484086*ii, 1.17546-.432605*ii, 1.2247-.103442*ii, 2.0458+.557329*ii, .478539+1.19754*ii, 1.02506-1.28591*ii, .651679-2.1854*ii, -4.15417+3.17414*ii, .0245592-.253249*ii, .137514-1.20861*ii
-.532394+.547352*ii, 1.03567+.118719*ii, -2.40509-.220894*ii, 1.76775+2.78344*ii, .794749-.972066*ii, -.794096+.972121*ii, -.146247+.610605*ii, -1.3847+.590839*ii, .0561972+.0685372*ii, .279742+.529977*ii, -.432495-.0750175*ii, 1.98881+2.4596*ii, .679876-5.95791*ii, -.439017-.129039*ii, .842551+.796788*ii
.742912+.23553*ii, -.482177-.25715*ii, -.234021-.483711*ii, .0996548+.363356*ii, .0245002+.151894*ii, 1.54732+.083456*ii, -.483707-1.3258*ii, -.62297+1.09999*ii, .043447+1.89183*ii, -.242863-1.02709*ii, .607049+1.37736*ii, -.473806-.500888*ii, -.0692776-.2166*ii, .061484-.820236*ii, .328772-.126595*ii
-.162197+.830729*ii, 1.09742+.644591*ii, .543803+2.47638*ii, 3.78399+.464314*ii, 1.21598-2.29114*ii, -1.60686+2.01282*ii, -1.31134-.388217*ii, -.977208+1.52065*ii, 1.06776-.895832*ii, -.418379+1.26475*ii, -.885781+.016647*ii, 2.74839-1.19122*ii, -1.04305-1.75337*ii, -.982805-.552698*ii, -.0139327-.022904*ii
.398467-.185006*ii, -.125005+.464796*ii, .426654-.646276*ii, .242526+.813025*ii, -.21891-.0364198*ii, .26026-.293399*ii, 1.54364-.934829*ii, .502861+.625689*ii, -.629649+1.50934*ii, -.474231-.353886*ii, .030403+.539238*ii, 1.50035-.925303*ii, -3.18354+.805963*ii, -.254436-.0532763*ii, 1.01259-.499609*ii
-.161962-.102781*ii, -.204997-.295738*ii, -.328764+.191467*ii, -.707842+.091224*ii, .913273-1.89774*ii, -7.92296+3.22218*ii, 2.45305+3.24824*ii, -3.01838-.96689*ii, 1.84664-5.60715*ii, 7.12767+2.45117*ii, 4.00871-.272889*ii, .912285-1.7611*ii, -.981873-.225684*ii, -.902478-1.12959*ii, -1.9596+.614414*ii
.0794754+.415798*ii, .405674+.194358*ii, .500051+.836647*ii, 1.03086+.100239*ii, -.0271893-.359071*ii, .0552313+.366549*ii, .654458+.099384*ii, .666526+.521859*ii, .419747+.097568*ii, -.583267+.544663*ii, -.738341-.13738*ii, 2.163-.789197*ii, -3.06945-.730752*ii, -.272825-.199234*ii, .742289+.180131*ii
-.29673+.617715*ii, .413866-.629976*ii, 1.55253-1.34673*ii, -1.88954+1.24094*ii, 3.20263-.069615*ii, 1.61294+4.00606*ii, .53364+.915228*ii, -1.20879-1.00202*ii, -1.99958-3.42418*ii, .336275+1.88994*ii, -.531599-1.66231*ii, -2.75239-1.19119*ii, 1.56323-.99142*ii, -1.26723-.353079*ii, 3.42785+1.75685*ii
.331143+1.1725*ii, -.0922721+.274388*ii, -1.34692+1.80835*ii, -.506685+.17409*ii, -1.12852+.670042*ii, 1.91627-1.13806*ii, .551765+.323629*ii, 1.11221-.283731*ii, 1.71836-.275585*ii, -.08625-.845153*ii, -2.3071-2.73153*ii, 1.1279+1.46731*ii, -1.19603-.265086*ii, .96238-.380994*ii, -.868016+.727285*ii
.114892+.760508*ii, .120472-.745537*ii, .745969-1.32571*ii, -1.09479+1.01605*ii, 1.06811+.094316*ii, 1.8877+1.50325*ii, .614657+.353785*ii, -.410035-1.34507*ii, -.964275-2.32728*ii, .308561+1.16773*ii, -.66222-1.03662*ii, -1.55941-1.21647*ii, .767845+.976846*ii, -.852617+.368826*ii, 1.79007+1.18158*ii
.593189+.182588*ii, .700476+1.27828*ii, 2.13578-.838093*ii, 4.96933+2.0832*ii, 1.75525-2.24908*ii, -1.81244-2.21901*ii, -2.27434-.109773*ii, -.798446+.01517*ii, -.298755-1.17427*ii, -3.52207+3.97296*ii, .103026+2.25837*ii, 2.89165-2.30293*ii, .258214+.0484981*ii, -2.81466+1.71363*ii, 1.9462-.119226*ii
-1.3314+.55708*ii, 1.11795+.968758*ii, -2.98422-5.97377*ii, -4.12591+5.4611*ii, .328235+1.36169*ii, .738805-1.19109*ii, 1.96492-.518554*ii, .611479-3.03883*ii, .55963+2.54704*ii, .0061432+.444074*ii, -.390787-.187163*ii, .309803+4.61648*ii, 1.87892-2.84486*ii, -.255564-.587816*ii, .677537+.112342*ii
-.00460413-.0160777*ii, 2.78895+.477556*ii, -.0176921-.00475374*ii, 2.02268-2.34857*ii, .0256689-.0113647*ii, -.285673-.244232*ii, -4.34867+1.7911*ii, 2.23318+.94163*ii, 4.11314+1.27703*ii, -3.31676+4.04017*ii, .030018+.00731066*ii, .564502-.938758*ii, 1.21473-3.46663*ii, .0802276+.0347244*ii, -.190106+.961292*ii
-.144267+.21708*ii, -.147124+.247555*ii, -.569817+1.05579*ii, -.570074+1.19669*ii, -1.08629+2.00068*ii, .924343-1.80863*ii, 3.67855-.92087*ii, 2.81493-.776647*ii, 1.00782+1.70851*ii, -1.72619-1.03357*ii, -1.51334-1.01291*ii, 4.58365-.421279*ii, -8.13858+1.51383*ii, .4734-.225612*ii, 1.18537-.086757*ii
-.467213-1.04883*ii, -.396842+.15284*ii, .48928+.451567*ii, .176345-.172377*ii, -.0384432-.0379075*ii, -.190393-.206012*ii, .834903+.302865*ii, .980719+.751925*ii, -.546432+.008323*ii, -.417834+.13381*ii, -.418816-1.10807*ii, -.532656+.229224*ii, -.131381+.167342*ii, .335561+.375717*ii, .936269+.218191*ii
.389617-.882864*ii, -.17635-.485019*ii, -.285522+.201255*ii, -.0357356+.183366*ii, .110236+.0330656*ii, .119754-.0044105*ii, .522371+.410113*ii, .151635+1.0951*ii, .135009+.285119*ii, .261386-.168439*ii, .570778+.110899*ii, -.310255-.186486*ii, -1.05118-.727011*ii, -.0468687-.296395*ii, .748126+.358728*ii
-.379473-.309648*ii, -.113801-.092789*ii, -1.31354+.52291*ii, -.393739+.156918*ii, -1.10665+1.20608*ii, -2.08554+1.39541*ii, 1.70829-.081316*ii, 1.2878-.529776*ii, 3.22641-1.50255*ii, .899444-.73632*ii, 3.00108-2.4549*ii, 1.40292-2.52276*ii, -3.42612+3.71024*ii, -.569315+.000903*ii, -1.45135+1.18748*ii
-23.407-31.8771*ii, .00000842666-.0000483247*ii, -115.431+24.8939*ii, -.000121412-.0000819272*ii, .00030196-.0103684*ii, -.156818-1.26416*ii, 1.39109-1.08683*ii, 66.7211+35.8098*ii, 142.071+66.8412*ii, .000204638+.0000143868*ii, 122.6-111.009*ii, 1.22014-2.72519*ii, -144.194+63.5853*ii, -.00433135-.00686002*ii, -37.216-60.3732*ii
-.309546+.190042*ii, .158573+.215742*ii, -.768581+.778146*ii, .618716+.516901*ii, -.113543+.370202*ii, .192666+.168609*ii, 1.99437-.483229*ii, 1.41055+.441895*ii, .842117+1.52183*ii, -.704188+.065956*ii, -.009744-.959433*ii, 2.92411-.718605*ii, -5.86654-.086771*ii, .205445-.154242*ii, 1.14004-.611107*ii
-.877987+2.22672*ii, 1.13699+.457204*ii, 2.45801+1.71699*ii, .887552-1.25251*ii, .904318-2.53589*ii, 2.38505+4.22832*ii, -2.38229-.922143*ii, .892884+1.24561*ii, 2.2966-.256823*ii, -.554487+.727841*ii, -1.42888-1.07339*ii, .290646-1.21847*ii, -.555828+.078251*ii, -1.13387-1.87372*ii, -.927941-.389593*ii
-.0552775+.426891*ii, -.393321-.23937*ii, -.0125039-.191719*ii, .192848+.07101*ii, .137774+.0194722*ii, .341518-.0621879*ii, -.845551+.585277*ii, -.117607-.0244948*ii, .850418-.681743*ii, -.21259+.659266*ii, .643959-.068518*ii, -.437968+.0860023*ii, 1.15465-1.05645*ii, -.269684-.127195*ii, .197427+.854862*ii
-.316525+.794914*ii, -.024258+.680418*ii, .0175034+.274039*ii, .0865169+.200652*ii, .283135+.2759*ii, 1.22648+.753653*ii, .004661-1.51714*ii, .41064+.324342*ii, .327177+1.54931*ii, -.959174-.364152*ii, -.981004-.836655*ii, .289993-.137491*ii, -.388679+.334835*ii, .593072-.647198*ii, .397054-.271304*ii
.121681+.0794902*ii, -.174197-.0392362*ii, .162512+.111851*ii, -.235093-.0589485*ii, .0278767+.0701704*ii, -.0596159-.0177204*ii, 1.58355+1.58827*ii, .669125+.254836*ii, -.275811-.565302*ii, .230618+.925463*ii, .087469-.771395*ii, 1.35696+.03276*ii, -3.40246-1.96506*ii, -.0455034+.130943*ii, 1.51597+.468572*ii
.127258+.0625203*ii, -.165812-.0262369*ii, .164914+.0699096*ii, -.210992-.021432*ii, .0350733+.0438257*ii, .0402165+.00421613*ii, 1.56485+1.3482*ii, .660042+.276665*ii, -.296821-.384929*ii, .203166+.842467*ii, .046144-.730485*ii, 1.26135-.070332*ii, -3.33819-1.63666*ii, -.0268168+.119913*ii, 1.47705+.339819*ii
1.43749+.143256*ii, -.413356+.714722*ii, .722722-.047806*ii, -.145427+.387577*ii, .228934+.253276*ii, -.081894-.563676*ii, .366398+.546137*ii, -.970906+.843623*ii, -1.12933-.435522*ii, -.130055-.285094*ii, -.360615+.412991*ii, .49454-.0825408*ii, -.129243-1.66104*ii, -.146111-.428452*ii, .924555+1.11009*ii
.115133+.142807*ii, .439969-.399467*ii, .0186084+.12456*ii, .399295-.0838393*ii, -.13805-.0704858*ii, -.0289748-.308257*ii, -.334375+1.70035*ii, .391391+.0084232*ii, .688585-1.13048*ii, -.187514+1.34218*ii, -.410201-.0820743*ii, .592299+.347217*ii, -.048399-2.50765*ii, -.213261+.127751*ii, .59442+1.24478*ii
.116925+.247062*ii, .334337-.872279*ii, .0572236-.0782681*ii, -.328503+.043428*ii, -.0003795+.0954939*ii, .844371-1.22229*ii, -.592524+1.54227*ii, 1.07829-1.10639*ii, 2.07532-1.65675*ii, -.308468+2.02179*ii, -.365312-.473975*ii, -.169268-.311724*ii, -.168799+.25473*ii, -.535575+.160187*ii, .174728+.867787*ii
-.796354+.227136*ii, -2.03861-1.0095*ii, .30178+.426379*ii, -.174223+1.42436*ii, 2.78515-.784599*ii, 3.00054-.286642*ii, 2.249-1.929*ii, .129086+.170447*ii, -1.16726+2.33858*ii, -.247591+.78748*ii, .126092+.272765*ii, -.209221-.595088*ii, -5.86161+1.99567*ii, .018305-.68335*ii, 3.65794-3.35637*ii
-.401681-1.43164*ii, -.181364+.610859*ii, 2.1072+.37908*ii, -.677473-.618773*ii, -1.28322-1.95068*ii, -.604644-2.22894*ii, -.145316+.0860625*ii, 2.23574+.998307*ii, 1.74469+.997071*ii, .608368+.081422*ii, -1.30242+.595906*ii, -.628296+1.29559*ii, .830723+2.67725*ii, -.127803-.90367*ii, -2.22843-1.42493*ii
.278666+.361873*ii, .152185+.0940562*ii, 1.69981+.641925*ii, .711719+.000063*ii, -.395229+.0656869*ii, -.438494+.0457174*ii, 2.4696-.232533*ii, .945165-.158566*ii, -.742053-.108201*ii, -.358944+.461325*ii, -1.27329+.778157*ii, 3.38424-2.09118*ii, -5.53579+.977109*ii, -.266966-.0013367*ii, 1.38257+.017780*ii
1.88574+.45656*ii, -.444575+.472865*ii, -4.09749-8.38729*ii, 3.11649+.195338*ii, -1.89918-1.4237*ii, 2.12998-.325911*ii, -2.5261+3.10943*ii, -.537607+1.00349*ii, -.313172-.185007*ii, -.812592+3.7599*ii, 10.9714-3.4442*ii, -3.06979-3.70452*ii, .0412061-.0108517*ii, -3.24895+6.71918*ii, 1.88168+.304605*ii
-.725977+3.48611*ii, -.296723-.0180296*ii, .918123-.174106*ii, .0254294+.0737516*ii, -.0209445-.0971836*ii, 4.79782+2.99689*ii, 1.67777-1.8731*ii, -.605963-1.42103*ii, -3.79528-.197272*ii, .123906-.399229*ii, -4.51839-2.15796*ii, -.100433-.242451*ii, -.0422099-.0152179*ii, 1.3018+.72178*ii, 2.28746+.047005*ii
-.278353-.435727*ii, .081213-.129189*ii, -.588317+.510935*ii, -.210486-.0926301*ii, -.166215-.433253*ii, .270827+.817739*ii, .812068-.676038*ii, 1.3557+.482467*ii, 2.17837+.477804*ii, .629331+.032553*ii, 1.01015-1.88119*ii, -.220202-1.49087*ii, -2.70494+3.43347*ii, -.160992-.283278*ii, -.623854-.885078*ii
-.663704+.039226*ii, -.852539+.029091*ii, .275741-.0424361*ii, .35503-.0456135*ii, -1.00705+.357165*ii, 1.24216-.415059*ii, .510256-1.16679*ii, .993027+.05151*ii, -.450232+.845167*ii, -.782759-.89875*ii, -.627355-.685071*ii, -.417777+.0392473*ii, .600268+1.59233*ii, .554774+.5658*ii, .18523+.0812638*ii
-.230733-5.79447*ii, -3.38654+2.61643*ii, 6.54541+4.2924*ii, -.21699-5.77226*ii, -1.08049-.061146*ii, -8.03121-4.42174*ii, 2.955+4.19366*ii, 2.8263+3.97139*ii, -3.49102-1.46086*ii, -.0630771+.411133*ii, -.404542-.392463*ii, -.784512+1.09836*ii, -.183378+.0311655*ii, 2.39685+.270636*ii, .875667+.257559*ii
.431498+.113998*ii, -.610295-.124303*ii, -.263389+.0083825*ii, .366291-.0327516*ii, .113322-.0926354*ii, 1.2401-2.49745*ii, -1.61562+1.72102*ii, 1.14085-.197164*ii, 2.35069-1.1497*ii, -1.4558+1.88964*ii, 1.11911-1.29204*ii, -.565785+.168902*ii, .104589+.075753*ii, -.843592+.649418*ii, .23898+.564024*ii
1.30399+.043353*ii, -.300528+.355515*ii, -2.01842-2.1989*ii, 1.06206-.078828*ii, -.016194-.0692789*ii, .866546-.297351*ii, -1.01521+.830107*ii, -.651246+.922596*ii, .263623+.409421*ii, -.299901+1.41481*ii, 3.63267-1.79827*ii, -1.60217-1.63302*ii, .0130833+.0151032*ii, -.452406+1.8319*ii, 1.04473+.078325*ii
-1.27546-2.00603*ii, 1.11007+2.06916*ii, 1.19069-3.87592*ii, -1.45571+3.73123*ii, .447363-.635801*ii, -3.3872+1.47005*ii, 3.51277-.945758*ii, .441385+.0819266*ii, -2.89407+1.13317*ii, .258745-.421857*ii, -.229685+.445256*ii, 1.10717+1.2975*ii, .337919-.448714*ii, -1.17627+.019010*ii, 1.38642+.106355*ii
.314016+1.28863*ii, -.0023271+.482027*ii, .823643+1.62961*ii, .147487+.647005*ii, .795327+.403292*ii, .955625+.494726*ii, .19075-1.0342*ii, -.336359-.215399*ii, .159884-.468347*ii, -.843381-.362738*ii, -2.49293-.408272*ii, 1.34075-.312446*ii, -.595935-.080929*ii, .202599-1.20071*ii, .541422+.752931*ii
-.348684-.70636*ii, -.468748+.722765*ii, 1.13161+.330475*ii, -.322408-1.24825*ii, .074387-.677651*ii, -.126644-1.04354*ii, -.102525+.841218*ii, 1.17119+1.0222*ii, .002122+.947517*ii, -.219448+1.11457*ii, -.773143-.693717*ii, -1.01206+1.10245*ii, .506801-.684093*ii, .863803-.233622*ii, .413658-.759962*ii
4.45387-.27331*ii, -1.08468+3.89386*ii, 1.71957-.730732*ii, .116464+1.68846*ii, 2.13968-.145207*ii, -2.96773-2.13449*ii, .376107+1.22404*ii, -4.53482+2.22491*ii, -4.48473-1.69483*ii, -.149823-.0812406*ii, -.0307005+.185625*ii, .394666-.139848*ii, 2.19016-2.99205*ii, -.689498-.320887*ii, 2.09926+1.65594*ii
-7.35895+.706002*ii, -.636159-4.07195*ii, .6265+1.1408*ii, -.614149+.386361*ii, -2.1154+5.40258*ii, -6.01092+4.11532*ii, .19006+.227285*ii, 1.76596-8.17849*ii, 3.82588-9.26912*ii, -.0520214-.0814674*ii, -.15141+.084485*ii, -.0696211-.161701*ii, 11.2661+1.47602*ii, .440339+.562787*ii, -2.61385+8.22473*ii
-.0037518-.0377731*ii, .0205585+.0516974*ii, -.0178641-.0428325*ii, .0424855+.0531189*ii, -.00235609-.00045782*ii, .00632759+.0105262*ii, 1.18695+.584753*ii, .783531+.350123*ii, .210122+.390813*ii, -.051103+.729106*ii, .170748-.468534*ii, 1.16938-.356784*ii, -3.02127-.771365*ii, .0277323-.00080516*ii, 1.06932-.066225*ii
14.4931-5.18367*ii, -2.91859-7.00825*ii, -19.2797+15.8833*ii, 8.30957+9.09634*ii, 7.70304+3.2468*ii, 3.0178-22.1841*ii, -6.90333+2.04942*ii, -11.2116+3.83835*ii, 11.7167-3.82071*ii, .0918735-.08484*ii, .162271+.19482*ii, -1.52691+.549801*ii, -1.90617+1.20701*ii, .891745-1.70583*ii, .235868-.0107297*ii
-.267183-.0930597*ii, -.893965+.293637*ii, .402168+.271149*ii, 1.6103-.095620*ii, -.957577-.685989*ii, .972239+.749464*ii, -1.14837-1.86643*ii, -.294837+1.36539*ii, -.589461+.443629*ii, -.504236-1.82817*ii, .213304-.528819*ii, -1.6576-.437503*ii, 3.61107+1.92408*ii, -.035406+.53538*ii, -.847957+.394649*ii
28.7302-24.4443*ii, -.164366+.046995*ii, 10.1924+8.38887*ii, -.0263268-.0537201*ii, .000550985+.00274257*ii, -14.1052-44.7739*ii, -.24968+10.7497*ii, -7.18062+15.2453*ii, -7.46599+3.26699*ii, .110838-.105038*ii, -12.6788+31.2187*ii, .0616825+.344468*ii, -.0000338255-.0000772243*ii, .616838-5.72713*ii, 1.05925+.012146*ii
-.38623-.534748*ii, -.446301-.951122*ii, -.15935+.234408*ii, -.318714+.319724*ii, .394966-.0231677*ii, .396672-.173231*ii, 1.01654-.08397*ii, .648958+.060425*ii, .717279+.410295*ii, .458365+.449305*ii, .335166+.223752*ii, -.146631-.403897*ii, -2.06685+.774183*ii, .0632303-.418645*ii, .820165-.520672*ii
-.027102+.933397*ii, -1.42421+.398284*ii, .378523-.0991217*ii, .328026+.525744*ii, -.113462+.335674*ii, -.0446199-.475254*ii, .519165-1.03633*ii, -.946947-.752122*ii, -.799284-.60492*ii, .217038-.385727*ii, -.191834-.203229*ii, -.11787-.402111*ii, 1.4248+1.50769*ii, .354155+.213037*ii, .148402+.312334*ii
1.13452+.650379*ii, -.317706+.133924*ii, .926288-1.26217*ii, .116588+.395959*ii, .112786+.122284*ii, 1.02148-.145082*ii, -.561326-1.03044*ii, -.943211+.52571*ii, -.548321+1.18115*ii, -.544776-.27162*ii, .433369+2.26785*ii, .134497-1.18961*ii, .10955-.238563*ii, -.441404-.66247*ii, .628423+.284617*ii
-1.55746+3.02348*ii, 2.13387-2.19478*ii, .030374-6.4187*ii, -1.70943+5.51854*ii, .573289-3.55056*ii, 8.39165+4.81089*ii, .60819-.705071*ii, .498882-2.48684*ii, -1.60115-1.50687*ii, .929377+.994752*ii, -1.3098-.7564*ii, -1.68185+.85631*ii, .109564-.127057*ii, -4.45508+1.26066*ii, 2.19047-.000924*ii
1.89518+1.15055*ii, -1.3137+1.50441*ii, -.13579-.0388268*ii, .0554213-.114523*ii, .0839643+.0286909*ii, .791505-1.73454*ii, .122773-.684948*ii, -1.63454+.797111*ii, -1.14494+1.30916*ii, .331737-.367366*ii, -.464871-.292923*ii, -.0614423+.0168141*ii, .0451801+.0581979*ii, 1.05138-.314545*ii, .299113-.730498*ii
-1.03749-.23954*ii, -.311319-1.24258*ii, .0647671+.323788*ii, -.311417+.246631*ii, -.331305-.159352*ii, .735612+.299667*ii, .656086-.022611*ii, 1.38205-.411032*ii, 1.55981-.416342*ii, .377105+.161262*ii, .261994-.218135*ii, -.127677-.282609*ii, -1.32397+1.40109*ii, -.352614-.257639*ii, -.066716+.0517421*ii
-4.89107+14.7699*ii, -9.69772-9.01721*ii, .402029+1.41948*ii, -1.24094-.191705*ii, -.285494+4.68816*ii, 16.1843+2.14907*ii, -.389101+.0019726*ii, -2.68346-12.5343*ii, -.67627-10.6146*ii, .101763-.01326*ii, -.0639294-.102233*ii, .0784858-.0532102*ii, -.578844-1.74903*ii, -.301882+1.56789*ii, 4.37449+4.81312*ii

