variable ordering: f1, f2, Eph1, Eph2, Eel1, Eel2, p1, p2, pel2, lambda1, lambda2, h, mel, c, cosTh
-.254482+.634966*ii, 1.04486-1.31679*ii, -.75115+.657329*ii, -.631495+.787433*ii, 1.31133-.970849*ii, 1.19168-1.10095*ii, -.70502+.597074*ii, .805963-.055872*ii, .252312+.798215*ii, .009431+1.32335*ii, -.157456-.515014*ii, 1.30045+.661782*ii, .366983-1.95678*ii, -.842683-.330782*ii, -1.27673+.005045*ii
1.18518+1.25605*ii, .057901-.882484*ii, -1.45333+.033635*ii, .117383-.490386*ii, .914924-.250623*ii, -.65579+.273398*ii, -.166877-.384979*ii, 1.10961+.362268*ii, .533818+.761225*ii, -.388002+.128589*ii, .331929-.725889*ii, -.563391+.625461*ii, .58914-1.81032*ii, -.621366-.334951*ii, -.243079+1.28368*ii
.258458-.296878*ii, .286296-.735955*ii, .00681679+.0430624*ii, -.148806-.319431*ii, -.0132439-.153102*ii, .142379+.209391*ii, -1.98474+.467673*ii, 1.07604+.650485*ii, .25259+.829095*ii, .644832+.248306*ii, .260549+.225264*ii, -.0711413+.0848962*ii, 1.61098-1.3115*ii, .240378-.12726*ii, -.890073+.466784*ii
.737392-.303472*ii, -.164716+.609573*ii, .348901+.226595*ii, .0547904+.150016*ii, -.100971-.0293173*ii, .193139+.0472613*ii, -.489337-.0238954*ii, .0359862+.408188*ii, .454402+.280946*ii, .39583+.0238464*ii, -.28034-.41495*ii, .296476+.429305*ii, -.617575-.851102*ii, .299119-.102539*ii, .509373-.114632*ii
-.035549-.537597*ii, 1.73914+1.34524*ii, -.104651-.109198*ii, -.487471+.2731*ii, -.172414+.110979*ii, .210407-.27132*ii, -.118832-.288642*ii, -.877907+.324757*ii, .327359-.880963*ii, -.128465+.575509*ii, .126472-.0698801*ii, .215055-.180443*ii, -1.29578+1.56458*ii, .313959+.0486039*ii, 1.56196-1.50427*ii
-.306905+.245393*ii, .363378+.359065*ii, .198356+.0740908*ii, .697662-.137337*ii, .0995715-.126569*ii, -.399735+.0848586*ii, -.0507402-.296127*ii, .040245+.829974*ii, -.307174-1.0521*ii, .692838-.63707*ii, .424538+.586443*ii, -.276508-.4625*ii, -.415748+1.10145*ii, -.0563034+.365538*ii, .707874-.970329*ii
.448241+.730964*ii, .180921+.255723*ii, -.0352702-.0704218*ii, .0338458-.0279573*ii, -.0282-.0330177*ii, -.097316-.0754821*ii, -.112274+.0679039*ii, .293425+.47631*ii, .300477+.474836*ii, .042004-.237083*ii, .157303-.640018*ii, -.0915162-.0078679*ii, .043386-1.0178*ii, .192127-.0755667*ii, .051069+.135199*ii
.767727-.580471*ii, .17546-2.41381*ii, .0194935+.421632*ii, -1.43053+3.84943*ii, .496103-1.77954*ii, 1.94613-5.20734*ii, .649699-.039741*ii, -2.22461-.06942*ii, -.422773-1.39283*ii, .964868+3.62002*ii, -.829371+1.23771*ii, -.248048+.361649*ii, -.123531-.0702079*ii, 2.84207+2.21911*ii, -2.46773+.244025*ii
.117602+.313203*ii, -.142875-.236095*ii, 1.29409-.601726*ii, 3.20763+1.14181*ii, -1.15011+1.08097*ii, -3.06365-.662569*ii, .736993-2.21079*ii, -.455719+5.01204*ii, 2.60683-1.1922*ii, 3.08944-1.54097*ii, -4.02515+1.14728*ii, -.324098-4.2535*ii, .745294+.918864*ii, .84596+.786401*ii, -1.38014+.528905*ii
.510707-.813308*ii, .397083+.726719*ii, .206103-.531287*ii, .499172-1.08947*ii, .154663+.43798*ii, -.138406+.996167*ii, -1.78732-.346558*ii, 1.16279+1.34834*ii, 1.01378+1.08892*ii, .274431-.606302*ii, -.769001+.065498*ii, .582634-.112444*ii, .839562-.766843*ii, -.352956-.53284*ii, -.502073+.204202*ii
-.0350049+.119579*ii, -1.48495-1.33037*ii, .0513226-.0183441*ii, -.100418+.500536*ii, -.0284894+.138228*ii, .123251-.380653*ii, -.418649+2.31681*ii, .796426+.042564*ii, 1.82055+.508529*ii, 1.55131-.360931*ii, -.0621509-.077749*ii, -.257021-.353956*ii, .325273-3.56885*ii, -.0111438+.198137*ii, -.498347+2.20163*ii
-.821227+1.86356*ii, 1.82858-1.22676*ii, -.217133+.950089*ii, -.116907+.858855*ii, 1.13465-.439221*ii, 1.03443-.347987*ii, -.200532+.193522*ii, 1.12276+.520905*ii, -.492615-.28627*ii, -.0413962+.480193*ii, -.205371-.395625*ii, .469915-.090565*ii, .250067-1.2379*ii, -.860874-.471492*ii, -.754668-1.50377*ii
-.396493-.0441687*ii, .294147-.887288*ii, -.287414-.016826*ii, .94642+.055553*ii, .655613+.035281*ii, -.57822-.037098*ii, -.323261-.469247*ii, -.119685+2.10364*ii, -.091104+.558329*ii, 1.32621-.34589*ii, -.261932-.523014*ii, .720675-.037845*ii, 2.06878+.736777*ii, -.54111+.078566*ii, -1.48139-.948909*ii
.951015+3.19318*ii, .543261-1.10541*ii, 1.3915+1.07787*ii, .77682+.648657*ii, .075849-1.21056*ii, .690533-.781345*ii, -.215802-.296589*ii, 1.29366-.451278*ii, -1.3686+.933105*ii, -.12769+.19034*ii, -.095934-.612537*ii, .429264-.307928*ii, -1.06987-1.78364*ii, -.729223-.22672*ii, -1.20689-.996845*ii
-13.2522+7.87986*ii, 3.80811-5.04973*ii, -2.82455+2.93313*ii, -3.25819+10.5239*ii, 8.02074-.64537*ii, 8.45438-8.23611*ii, 11.2263+6.19483*ii, -.451827+1.16634*ii, -2.60776-10.0781*ii, -.0158156-.0726223*ii, -.0313293+.178455*ii, .254694-.0698886*ii, -.91169-6.0595*ii, .781845+.837782*ii, -2.62275-5.67078*ii
4.25103+1.31988*ii, .343852+.355442*ii, .366948+.342206*ii, 2.99295-1.10096*ii, .0292008+.117523*ii, -2.5968+1.56068*ii, -1.24314-4.99688*ii, 1.50671+2.98464*ii, .128841+2.0076*ii, -.237543-.241244*ii, -2.91812-.877818*ii, .101526+.0489773*ii, .0347441-.0404465*ii, -.691388-1.33906*ii, -.969326-.034068*ii

